"description","sequence","time"
"gets blind components 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets heavy object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets bulky object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets obstructed object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind object 5 or 7 steps from the box 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind object 5 or 7 steps from pallet 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind object 5 or 7 steps from WIP 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets blind object 5 or 7 steps from the nest 50% of the time","A10 B3 G3 A0 B0 P0 A0","5.76"
"gets light components 5 or 7 steps from the box 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light components 5 or 7 steps from palet 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light components 5 or 7 steps from WIP 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 5 or 7 steps from palet 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 5 or 7 steps from the box 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 5 or 7 steps from WIP 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light component 5 or 7 steps from the nest 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 5 or 7 steps from the nest 100% of the times","A10 B6 G1 A0 B0 P0 A0","6.119999999999999"
"gets heavy components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind components 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind components 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind components 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind components 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets heavy object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets bulky object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind object 5 or 7 steps from the box 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind object 5 or 7 steps from pallet 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind object 5 or 7 steps from WIP 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets blind object 5 or 7 steps from the nest 100% of the times","A10 B6 G3 A0 B0 P0 A0","6.84"
"gets light components 5 or 7 steps from the box 100% of the times","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light components 5 or 7 steps from palet 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light object 5 or 7 steps from palet 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light component 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets light object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G1 A0 B0 P0 A0","7.56"
"gets heavy components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets heavy object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets bulky object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets obstructed object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets blind object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0","8.28"
"gets light components 8 or 10 steps from the box","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light components 8 or 10 steps from palet","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light components 8 or 10 steps from WIP","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 8 or 10 steps from palet","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 8 or 10 steps from the box","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 8 or 10 steps from WIP","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light component 8 or 10 steps from the nest","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets light object 8 or 10 steps from the nest","A16 B0 G1 A0 B0 P0 A0","6.119999999999999"
"gets heavy components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets heavy object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets bulky object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets obstructed object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets blind object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0","6.84"
"gets light components 8 or 10 steps from the box 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light components 8 or 10 steps from palet 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light components 8 or 10 steps from WIP 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light object 8 or 10 steps from palet 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light object 8 or 10 steps from the box 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light object 8 or 10 steps from WIP 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light component 8 or 10 steps from the nest 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets light object 8 or 10 steps from the nest 50% of the time","A16 B3 G1 A0 B0 P0 A0","7.199999999999999"
"gets heavy components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets heavy object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets bulky object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets obstructed object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets blind object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0","7.919999999999999"
"gets light components 8 or 10 steps from the box 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light components 8 or 10 steps from palet 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light components 8 or 10 steps from WIP 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light object 8 or 10 steps from palet 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light object 8 or 10 steps from the box 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light object 8 or 10 steps from WIP 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light component 8 or 10 steps from the nest 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets light object 8 or 10 steps from the nest 100% of the times","A16 B6 G1 A0 B0 P0 A0","8.28"
"gets heavy components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets heavy object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets bulky object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets obstructed object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets blind object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0","9.0"
"gets light components 8 or 10 steps from the box 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light components 8 or 10 steps from palet 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light components 8 or 10 steps from WIP 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light object 8 or 10 steps from palet 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light object 8 or 10 steps from the box 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light object 8 or 10 steps from WIP 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light component 8 or 10 steps from the nest 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets light object 8 or 10 steps from the nest 100% of the times","A16 B10 G1 A0 B0 P0 A0","9.719999999999999"
"gets heavy components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets heavy object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets bulky object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets obstructed object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"gets blind object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0","10.44"
"tosses the component into the box","A0 B0 G0 A1 B0 P0 A0","0.36"
"tosses the component onto the table","A0 B0 G0 A1 B0 P0 A0","0.36"
"tosses the component onto the WIP","A0 B0 G0 A1 B0 P0 A0","0.36"
"tosses the component onto the fixture","A0 B0 G0 A1 B0 P0 A0","0.36"
