"description","sequence"
"gets obstructed components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind components 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets heavy object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets bulky object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets obstructed object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the box 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from pallet 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from WIP 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets blind object 5 or 7 steps from the nest 100% of the times with adjustment","A10 B10 G3 A0 B0 P0 A0"
"gets light components 8 or 10 steps from the box","A16 B0 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from palet","A16 B0 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from WIP","A16 B0 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from palet","A16 B0 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the box","A16 B0 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from WIP","A16 B0 G1 A0 B0 P0 A0"
"gets light component 8 or 10 steps from the nest","A16 B0 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the nest","A16 B0 G1 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the box","A16 B0 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from pallet","A16 B0 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from WIP","A16 B0 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the nest","A16 B0 G3 A0 B0 P0 A0"
"gets light components 8 or 10 steps from the box 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from palet 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from WIP 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from palet 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the box 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from WIP 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light component 8 or 10 steps from the nest 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the nest 50% of the time","A16 B3 G1 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the box 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from pallet 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from WIP 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the nest 50% of the time","A16 B3 G3 A0 B0 P0 A0"
"gets light components 8 or 10 steps from the box 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from palet 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from WIP 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from palet 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the box 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from WIP 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light component 8 or 10 steps from the nest 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the nest 100% of the times","A16 B6 G1 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the box 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from pallet 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from WIP 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the nest 100% of the times","A16 B6 G3 A0 B0 P0 A0"
"gets light components 8 or 10 steps from the box 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from palet 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light components 8 or 10 steps from WIP 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from palet 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the box 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from WIP 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light component 8 or 10 steps from the nest 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets light object 8 or 10 steps from the nest 100% of the times","A16 B10 G1 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind components 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets heavy object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets bulky object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets obstructed object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the box 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from pallet 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from WIP 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"gets blind object 8 or 10 steps from the nest 100% of the times with adjustment","A16 B10 G3 A0 B0 P0 A0"
"tosses the component into the box","A0 B0 G0 A1 B0 P0 A0"
"tosses the component onto the table","A0 B0 G0 A1 B0 P0 A0"
"tosses the component onto the WIP","A0 B0 G0 A1 B0 P0 A0"
"tosses the component onto the fixture","A0 B0 G0 A1 B0 P0 A0"
"tosses the object into the box","A0 B0 G0 A1 B0 P0 A0"
"tosses the object onto the table","A0 B0 G0 A1 B0 P0 A0"
"tosses the object onto the WIP","A0 B0 G0 A1 B0 P0 A0"
"tosses the object onto the fixture","A0 B0 G0 A1 B0 P0 A0"
"puts the component into the box","A0 B0 G0 A1 B0 P1 A0"
"puts the component onto the table","A0 B0 G0 A1 B0 P1 A0"
"puts the component onto the WIP","A0 B0 G0 A1 B0 P1 A0"
"puts the component onto the fixture","A0 B0 G0 A1 B0 P1 A0"
"puts the object into the box","A0 B0 G0 A1 B0 P1 A0"
"puts the object onto the table","A0 B0 G0 A1 B0 P1 A0"
"puts the object onto the WIP","A0 B0 G0 A1 B0 P1 A0"
"puts the object onto the fixture","A0 B0 G0 A1 B0 P1 A0"
"places the component into the box","A0 B0 G0 A1 B0 P3 A0"
"places the component onto the table","A0 B0 G0 A1 B0 P3 A0"
"places the component onto the WIP","A0 B0 G0 A1 B0 P3 A0"
"places the component onto the fixture","A0 B0 G0 A1 B0 P3 A0"
"places the object into the box","A0 B0 G0 A1 B0 P3 A0"
"places the object onto the table","A0 B0 G0 A1 B0 P3 A0"
"places the object onto the WIP","A0 B0 G0 A1 B0 P3 A0"
"places the object onto the fixture","A0 B0 G0 A1 B0 P3 A0"
"positions the component into the box","A0 B0 G0 A1 B0 P6 A0"
"positions the component onto the table","A0 B0 G0 A1 B0 P6 A0"
"positions the component onto the WIP","A0 B0 G0 A1 B0 P6 A0"
"positions the component onto the fixture","A0 B0 G0 A1 B0 P6 A0"
"positions the object into the box","A0 B0 G0 A1 B0 P6 A0"
"positions the object onto the table","A0 B0 G0 A1 B0 P6 A0"
"positions the object onto the WIP","A0 B0 G0 A1 B0 P6 A0"
"positions the object onto the fixture","A0 B0 G0 A1 B0 P6 A0"
"tosses the component into the box 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the component onto the table 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the object into the box 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the object onto the table 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"tosses the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P0 A0"
"puts the component into the box 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the component onto the table 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the object into the box 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the object onto the table 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"puts the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P1 A0"
"places the component into the box 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the component onto the table 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the object into the box 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the object onto the table 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"places the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P3 A0"
"positions the component into the box 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the component onto the table 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the component onto the WIP 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the component onto the fixture 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the object into the box 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the object onto the table 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the object onto the WIP 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"positions the object onto the fixture 50% of the time","A0 B0 G0 A1 B3 P6 A0"
"tosses the component into the box 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the component onto the table 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the object into the box 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the object onto the table 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"tosses the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P0 A0"
"puts the component into the box 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the component onto the table 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the object into the box 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the object onto the table 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"puts the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P1 A0"
"places the component into the box 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the component onto the table 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the object into the box 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the object onto the table 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"places the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P3 A0"
"positions the component into the box 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the component onto the table 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the component onto the WIP 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the component onto the fixture 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the object into the box 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the object onto the table 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the object onto the WIP 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"positions the object onto the fixture 100% of the time","A0 B0 G0 A1 B6 P6 A0"
"tosses the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"tosses the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P0 A0"
"puts the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"puts the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P1 A0"
"places the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"places the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P3 A0"
"positions the component into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the component onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the component onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the component onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the object into the box 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the object onto the table 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the object onto the WIP 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"positions the object onto the fixture 100% of the times with adjustment","A0 B0 G0 A1 B10 P6 A0"
"tosses the component into the box in 1 or 2 steps ","A0 B0 G0 A3 B0 P0 A0"
"tosses the component onto the table in 1 or 2 steps","A0 B0 G0 A3 B0 P0 A0"
